"","home_team","away_team","home_score","away_score","tournament","city","country","neutral","gameresult"
"17178","Other","Other",0,0,"Friendly","Teheran","Other",FALSE,"0"
"17179","Other","Other",3,3,"Friendly","Kingston","Other",FALSE,"0"
"17180","Other","Other",2,1,"African Cup of Nations qualification","Bamako","Other",FALSE,"1"
"17181","Other","Other",0,0,"African Cup of Nations qualification","Lomé","Other",FALSE,"0"
"17182","Saudi Arabia","Other",2,1,"Friendly","Riyadh","Saudi Arabia",FALSE,"1"
"17183","Other","Other",3,0,"Friendly","Limassol","Other",FALSE,"1"
"17184","Other","Mexico",0,2,"Friendly","Los Angeles","United States",TRUE,"2"
"17185","Other","Other",0,1,"FIFA World Cup qualification","Reykjavík","Other",FALSE,"2"
"17186","Other","Norway",0,2,"FIFA World Cup qualification","Serravalle","Other",FALSE,"2"
"17187","Sweden","Bulgaria",2,0,"FIFA World Cup qualification","Solna","Sweden",FALSE,"1"
"17188","Other","Other",3,1,"FIFA World Cup qualification","Tlemcen","Other",FALSE,"1"
"17189","Other","Other",4,2,"FIFA World Cup qualification","Papeete","Other",TRUE,"1"
"17190","United States","Other",0,0,"Friendly","Greensboro","United States",FALSE,"0"
"17191","Other","Other",1,0,"FIFA World Cup qualification","Harare","Other",FALSE,"1"
"17192","Other","Other",4,0,"FIFA World Cup qualification","Lagos","Other",FALSE,"1"
"17193","Other","Other",4,2,"FIFA World Cup qualification","Kinshasa","Other",FALSE,"1"
"17194","Egypt","Other",1,0,"FIFA World Cup qualification","Cairo","Egypt",FALSE,"1"
"17195","Other","Other",3,1,"FIFA World Cup qualification","Libreville","Other",FALSE,"1"
"17196","Other","Other",6,0,"FIFA World Cup qualification","Abidjan","Other",FALSE,"1"
"17197","Other","Other",3,0,"FIFA World Cup qualification","Antananarivo","Other",FALSE,"1"
"17198","Other","Other",5,0,"FIFA World Cup qualification","Casablanca","Morocco",FALSE,"1"
"17199","Qatar","Hungary",1,4,"Friendly","Doha","Qatar",FALSE,"2"
"17200","Other","Other",5,1,"FIFA World Cup qualification","Tunis","Tunisia",FALSE,"1"
"17201","Other","Other",2,0,"FIFA World Cup qualification","Lusaka","Other",FALSE,"1"
"17202","Qatar","Hungary",1,1,"Friendly","Doha","Qatar",FALSE,"0"
"17203","Other","Other",0,0,"Friendly","Yerevan","Other",FALSE,"0"
"17204","Belgium","Romania",1,0,"FIFA World Cup qualification","Brussels","Belgium",FALSE,"1"
"17205","Other","Wales",0,1,"FIFA World Cup qualification","Limassol","Other",FALSE,"2"
"17206","Denmark","Other",0,0,"FIFA World Cup qualification","Copenhagen","Denmark",FALSE,"0"
"17207","England","Norway",1,1,"FIFA World Cup qualification","London","England",FALSE,"0"
"17208","France","Austria",2,0,"FIFA World Cup qualification","Paris","France",FALSE,"1"
